Station (alphabetical by borough),2017,2018,2019,2020,2021,2022,2021-2022 Change,,2022 Rank
The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx
Parkside Av,"1,953,704","1,979,647","1,955,051","861,896","1,070,163","1,256,444","186,281",17.40%,232
Pennsylvania    Av,"1,054,654","1,279,685","1,360,708","662,596","719,312","792,673","73,361",10.20%,324
President St,"1,227,134","1,197,019","1,037,219","443,229","559,407","692,595","133,188",23.80%,345
Prospect Av,"961,733","1,638,002","1,780,893","676,624","885,878","1,175,311","289,433",32.70%,247
Prospect Park,"3,421,790","3,289,464","3,323,334","1,261,501","1,604,509","2,077,169","472,660",29.50%,147
Ralph Av,"1,894,817","1,850,375","1,829,126","818,101","878,860","1,010,247","131,387",14.90%,283
Rockaway Av,"1,685,468","1,412,271","1,451,431","722,986","764,655","812,348","47,693",6.20%,320
Rockaway Av,"1,794,365","1,790,683","1,787,343","781,385","837,692","988,760","151,068",18.00%,286
Saratoga Av,"1,702,107","1,535,733","1,556,357","786,160","841,082","920,284","79,202",9.40%,296
Sheepshead    Bay,"4,297,325","4,183,545","4,169,796","1,772,098","2,052,229","2,519,233","467,004",22.80%,122
Shepherd Av,"1,038,180","990,387","977,012","449,144","472,122","542,269","70,147",14.90%,370
Smith-9 Sts,"1,484,326","1,466,151","1,435,824","609,725","698,444","881,979","183,535",26.30%,302
Sterling St,"1,787,994","1,753,125","1,654,809","745,895","911,058","1,128,133","217,075",23.80%,255
Sutter Av,"1,394,283","1,246,958","1,047,762","483,645","512,751","504,518","-8,233",-1.60%,379
Sutter    Av-Rutland Rd,"1,049,559","1,968,448","2,019,485","995,590","1,056,784","1,184,067","127,283",12.00%,246
Union St,"1,935,724","2,090,848","2,271,983","808,042","1,093,965","1,457,176","363,211",33.20%,202
Utica Av,"5,271,782","5,195,786","5,106,247","2,085,483","2,249,322","2,671,676","422,354",18.80%,108
Van Siclen Av,"1,078,048","854,150","853,106","413,650","413,686","473,728","60,042",14.50%,386
Van Siclen Av,"1,026,358","955,230","918,811","437,290","442,084","501,085","59,001",13.30%,381
Van Siclen Av,"910,042","818,735","791,691","416,713","459,448","504,052","44,604",9.70%,380
West 8 St-New    York Aquarium,"789,104","818,685","837,836","315,691","431,449","583,500","152,051",35.20%,361
Wilson Av,"1,471,094","1,420,065","1,290,221","587,630","761,687","923,267","161,580",21.20%,294
Winthrop St,"2,148,162","2,140,028","1,882,065","974,253","1,203,929","1,499,531","295,602",24.60%,192
York St,"3,172,717","3,256,154","3,927,129","1,257,103","1,561,021","2,551,202","990,181",63.40%,118
Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan
1 Av,"7,071,729","6,743,140","5,345,371","2,177,284","3,960,124","5,337,253","1,377,129",34.80%,31
103 St,"4,114,291","4,072,703","3,766,055","1,470,254","1,880,611","2,574,644","694,033",36.90%,115
103 St,"4,402,069","4,065,523","4,039,570","1,851,275","2,112,042","2,489,375","377,333",17.90%,124
103 St,"1,470,838","1,630,405","1,498,363","579,191","718,579","922,327","203,748",28.40%,295
110 St,"3,734,660","3,394,176","3,316,061","1,468,770","1,722,459","2,050,861","328,402",19.10%,150
116 St,"3,729,434","3,446,526","3,345,661","1,375,593","1,612,653","1,914,872","302,219",18.70%,160
116 St,"5,066,069","4,683,148","4,572,453","2,052,609","2,341,695","2,794,564","452,869",19.30%,102
116 St,"2,253,473","2,262,578","2,288,111","896,442","1,067,970","1,358,486","290,516",27.20%,218
116 St-Columbia University,"4,586,341","4,528,136","4,380,469","1,316,284","1,822,117","2,897,994","1,075,877",59.00%,95
125 St,"2,438,960","2,457,157","2,368,025","967,478","1,203,374","1,761,867","558,493",46.40%,175
125 St,"5,054,479","4,727,671","4,644,262","1,848,803","2,121,918","2,521,152","399,234",18.80%,121
125 St,"9,088,393","8,630,430","8,554,857","3,587,673","3,772,990","4,475,736","702,746",18.60%,50
125 St,"9,335,382","9,037,343","9,208,598","3,863,203","4,353,615","5,182,313","828,698",19.00%,34
135 St,"4,768,474","4,506,259","4,268,823","1,867,402","2,048,382","2,262,461","214,079",10.50%,137
135 St,"1,743,984","1,622,552","1,743,921","667,495","753,875","1,019,037","265,162",35.20%,281
137 St-City College,"4,440,108","4,260,166","3,874,783","1,717,440","1,941,779","2,533,342","591,563",30.50%,120
14 St   /8 Av,"14,153,266","14,324,670","14,239,275","4,463,227","6,144,808","9,193,520","3,048,712",49.60%,15
14 St     /6 Av,"15,187,056","15,002,214","14,736,035","5,057,029","6,306,914","8,792,335","2,485,421",39.40%,16
14 St-Union Sq,"34,557,551","33,124,407","32,385,260","10,830,712","13,165,975","17,809,631","4,643,656",35.30%,4
145 St,"3,208,921","3,062,446","2,936,613","1,264,852","1,559,488","2,036,875","477,387",30.60%,151
145 St,"1,093,045","635,413","954,825","438,388","506,217","574,054","67,837",13.40%,362
145 St,"7,714,122","7,434,662","7,464,653","3,111,334","3,468,964","4,225,726","756,762",21.80%,56
155 St,"1,212,240","1,115,948","1,123,868","546,625","581,704","630,547","48,843",8.40%,352
155 St,"887,427","1,001,262","895,036","367,255","415,142","490,246","75,104",18.10%,384
157 St,"3,488,053","3,514,522","3,739,786","1,414,356","1,715,878","2,220,795","504,917",29.40%,140
163    St-Amsterdam Av,"1,437,340","548,092","1,390,312","617,596","679,641","783,629","103,988",15.30%,326
168 St,"7,945,871","8,150,537","6,156,288","3,265,733","4,029,229","4,657,808","628,579",15.60%,48
175 St,"4,112,450","3,879,652","4,182,625","1,665,946","1,995,451","2,135,272","139,821",7.00%,144
18 St,"2,594,336","2,683,235","2,649,616","803,924","961,311","1,497,039","535,728",55.70%,193
181 St,"3,742,446","3,605,435","3,523,536","1,682,772","115,142","1,952,205","1,837,063",1595.50%,156
181 St,"3,453,621","3,368,097","3,404,841","1,364,548","2,009,705","1,874,762","-134,943",-6.70%,163
190 St,"1,494,996","1,423,142","1,535,450","562,043","476,475","776,585","300,110",63.00%,327
191 St,"2,657,964","2,526,932","2,333,160","453,577","1,439,161","1,534,115","94,954",6.60%,185
